CRICOS Provider Code,Institution Name,CRICOS Course Code,Course Name,VET National Code,Dual Qualification,Field of Education 1 Broad Field,Field of Education 1 Narrow Field,Field of Education 1 Detailed Field,Field of Education 2 Broad Field,Field of Education 2 Narrow Field,Field of Education 2 Detailed Field,Course Level,Foundation Studies,Work Component,Work Component Hours/Week,Work Component Weeks,Work Component Total Hours,Course Language,Duration (Weeks),Tuition Fee,Non Tuition Fee,Estimated Total Course Cost,Expired
00008C,Monash University (Monash),068848A,Bachelor of Medical Science (Honours),,No,01 - Natural and Physical Sciences,0199 - Other Natural and Physical Sciences,019901 - Medical Science,,,,Bachelor Honours Degree,No,Yes,36.00,26,936,English,52,"$68,000.00",$0.00,"$68,000.00",No
00008C,Monash University (Monash),069011E,Bachelor of Journalism,,No,10 - Creative Arts,1007 - Communication and Media Studies,100703 - Journalism,,,,Bachelor Degree,No,No,,,,English,156,"$124,160.00",$0.00,"$124,160.00",No
00008C,Monash University (Monash),069109F,Doctor of Philosophy (Creative Writing),,No,09 - Society and Culture,0915 - Language and Literature,091523 - Literature,,,,Doctoral Degree,No,No,,,,English,208,"$201,232.00",$0.00,"$201,232.00",No
00008C,Monash University (Monash),069111A,Doctor of Philosophy (Theatre Performance),,No,10 - Creative Arts,1001 - Performing Arts ,100103 - Drama and Theatre Studies,,,,Doctoral Degree,No,No,,,,English,208,"$201,232.00",$0.00,"$201,232.00",No
00008C,Monash University (Monash),069112M,Graduate Certificate in Research Ethics,,No,09 - Society and Culture,0903 - Studies in Human Society,"090399 - Studies in Human Society, n.e.c.",,,,Graduate Certificate,No,No,,,,English,26,"$20,100.00",$0.00,"$20,100.00",No
00008C,Monash University (Monash),069118E,Master of Journalism and Master of International Relations,,Yes,10 - Creative Arts,1007 - Communication and Media Studies,100703 - Journalism,10 - Creative Arts,1007 - Communication and Media Studies,100703 - Journalism,Masters Degree (Coursework),No,No,,,,English,104,"$82,812.00",$0.00,"$82,812.00",No
00008C,Monash University (Monash),069579J,Graduate Diploma of Business,,No,08 - Management and Commerce,0899 - Other Management and Commerce,"089999 - Management and Commerce, n.e.c.",,,,Graduate Diploma,No,No,,,,English,52,"$59,900.00",$0.00,"$59,900.00",No
00008C,Monash University (Monash),069580E,Graduate Certificate of Business,,No,08 - Management and Commerce,0899 - Other Management and Commerce,"089999 - Management and Commerce, n.e.c.",,,,Graduate Certificate,No,No,,,,English,26,"$29,950.00",$0.00,"$29,950.00",No
00008C,Monash University (Monash),070625J,Master of Philosophy - MUARC,,No,06 - Health,0613 - Public Health,"061399 - Public Health, n.e.c.",,,,Masters Degree (Research),No,No,,,,English,104,"$113,918.00",$0.00,"$113,918.00",No
00008C,Monash University (Monash),071484J,Doctor of Philosophy (IITB-Monash),,No,03 - Engineering and Related Technologies,0399 - Other Engineering and Related Technologies,"039999 - Engineering and Related Technologies, n.e.c.",,,,Doctoral Degree,No,No,,,,English,208,"$260,727.00",$0.00,"$260,727.00",No
00008C,Monash University (Monash),072584G,Bachelor of Commerce and Bachelor of Business Information Systems,,Yes,08 - Management and Commerce,0800 - Management and Commerce,"080000 - Management and Commerce, n.f.d.",02 - Information Technology,0203 - Information Systems,"020300 - Information Systems, n.f.d.",Bachelor Degree,No,No,,,,English,208,"$228,355.00",$0.00,"$228,355.00",No
00008C,Monash University (Monash),072585G,Bachelor of Engineering (Honours) and Bachelor of Commerce,,Yes,08 - Management and Commerce,0803 - Business and Management,"080399 - Business and Management, n.e.c.",03 - Engineering and Related Technologies,0399 - Other Engineering and Related Technologies,"039999 - Engineering and Related Technologies, n.e.c.",Bachelor Honours Degree,No,Yes,36.00,22,792,English,260,"$335,971.00",$0.00,"$335,971.00",No
00008C,Monash University (Monash),072592G,Bachelor of Nursing (Honours),,No,06 - Health,0603 - Nursing,060301 - General Nursing,,,,Bachelor Honours Degree,No,No,,,,English,52,"$44,600.00",$0.00,"$44,600.00",No
00008C,Monash University (Monash),072741M,Bachelor of Arts (International),,No,09 - Society and Culture,0915 - Language and Literature,"091599 - Language and Literature, n.e.c.",,,,Bachelor Degree,No,No,,,,English,156,"$120,022.00",$0.00,"$120,022.00",No
00008C,Monash University (Monash),074679G,Doctor of Philosophy (Translation Studies),,No,09 - Society and Culture,0915 - Language and Literature,091519 - Translating and Interpreting,,,,Doctoral Degree,No,No,,,,English,208,"$201,232.00",$0.00,"$201,232.00",No
00008C,Monash University (Monash),075112E,Bachelor of Fine Art,,No,10 - Creative Arts,1003 - Visual Arts and Crafts,100301 - Fine Arts,,,,Bachelor Degree,No,No,,,,English,156,"$135,940.00",$0.00,"$135,940.00",No
00008C,Monash University (Monash),075117M,Bachelor of Nutrition Science,,No,06 - Health,0699 - Other Health,069901 - Nutrition and Dietetics,,,,Bachelor Degree,No,No,,,,English,156,"$158,225.00",$0.00,"$158,225.00",No
00008C,Monash University (Monash),075119J,Bachelor of Nursing,,No,06 - Health,0603 - Nursing,060301 - General Nursing,,,,Bachelor Degree,No,Yes,40.00,21,840,English,156,"$141,989.00",$0.00,"$141,989.00",No
00008C,Monash University (Monash),075122C,Master of Education,,No,07 - Education,0703 - Curriculum and Education Studies,070303 - Education Studies,,,,Masters Degree (Research),No,No,,,,English,78,"$66,861.00",$0.00,"$66,861.00",No
00008C,Monash University (Monash),075173C,Master of Bioresource Engineering,,No,03 - Engineering and Related Technologies,0303 - Process and Resources Engineering,"030399 - Process and Resources Engineering, n.e.c.",,,,Masters Degree (Coursework),No,No,,,,English,78,"$81,396.00",$0.00,"$81,396.00",No
00008C,Monash University (Monash),075402F,Bachelor of Arts and Bachelor of Fine Art,,Yes,09 - Society and Culture,0999 - Other Society and Culture,"099999 - Society and Culture, n.e.c.",10 - Creative Arts,1003 - Visual Arts and Crafts,100301 - Fine Arts,Bachelor Degree,No,No,,,,English,208,"$195,108.00",$0.00,"$195,108.00",No
00008C,Monash University (Monash),075404D,Bachelor of Arts,,No,09 - Society and Culture,0999 - Other Society and Culture,"099999 - Society and Culture, n.e.c.",,,,Bachelor Degree,No,No,,,,English,156,"$141,989.00",$0.00,"$141,989.00",No
00008C,Monash University (Monash),075405C,Bachelor of Commerce and Bachelor of Science,,Yes,08 - Management and Commerce,0803 - Business and Management,"080399 - Business and Management, n.e.c.",01 - Natural and Physical Sciences,0199 - Other Natural and Physical Sciences,"019999 - Natural and Physical Sciences, n.e.c.",Bachelor Degree,No,No,,,,English,208,"$247,603.00",$0.00,"$247,603.00",No
00008C,Monash University (Monash),075414B,Master of Arts by Research and Coursework,,No,09 - Society and Culture,0999 - Other Society and Culture,"099999 - Society and Culture, n.e.c.",,,,Masters Degree (Research),No,No,,,,English,78,"$70,380.00",$0.00,"$70,380.00",No
00008C,Monash University (Monash),075586D,Bachelor of Engineering (Honours) and Bachelor of Architectural Design,,Yes,03 - Engineering and Related Technologies,0399 - Other Engineering and Related Technologies,"039999 - Engineering and Related Technologies, n.e.c.",04 - Architecture and Building,0401 - Architecture and Urban Environment,040101 - Architecture,Bachelor Honours Degree,No,Yes,36.00,12,432,English,260,"$335,971.00",$0.00,"$335,971.00",No
00008C,Monash University (Monash),075587C,Bachelor of Environmental Engineering (Honours) and Bachelor of Arts,,Yes,03 - Engineering and Related Technologies,0399 - Other Engineering and Related Technologies,039901 - Environmental Engineering,09 - Society and Culture,0903 - Studies in Human Society,"090399 - Studies in Human Society, n.e.c.",Bachelor Honours Degree,No,Yes,36.00,12,432,English,260,"$299,893.00",$0.00,"$299,893.00",No
00008C,Monash University (Monash),075588B,Bachelor of Environmental Engineering (Honours) and Bachelor of Commerce,,Yes,03 - Engineering and Related Technologies,0399 - Other Engineering and Related Technologies,039901 - Environmental Engineering,08 - Management and Commerce,0899 - Other Management and Commerce,"089999 - Management and Commerce, n.e.c.",Bachelor Honours Degree,No,Yes,36.00,12,432,English,260,"$299,893.00",$0.00,"$299,893.00",No
00008C,Monash University (Monash),076777M,Master of Interpreting and Translation Studies (Double Masters with Jean Moulin Lyon III),,No,09 - Society and Culture,0915 - Language and Literature,091519 - Translating and Interpreting,,,,Masters Degree (Coursework),No,No,,,,English,104,"$94,760.00",$0.00,"$94,760.00",No
00008C,Monash University (Monash),076844E,Bachelor of Mining Engineering (Honours),,No,03 - Engineering and Related Technologies,0303 - Process and Resources Engineering,030303 - Mining Engineering,,,,Bachelor Honours Degree,No,No,,,,English,208,"$232,730.00",$0.00,"$232,730.00",No
00008C,Monash University (Monash),076916E,Bachelor of Journalism and Bachelor of Science,,Yes,10 - Creative Arts,1007 - Communication and Media Studies,100703 - Journalism,01 - Natural and Physical Sciences,0199 - Other Natural and Physical Sciences,"019999 - Natural and Physical Sciences, n.e.c.",Bachelor Degree,No,No,,,,English,208,"$247,603.00",$0.00,"$247,603.00",No
00008C,Monash University (Monash),077153B,Bachelor of Business and Bachelor of Arts,,Yes,08 - Management and Commerce,0899 - Other Management and Commerce,"089999 - Management and Commerce, n.e.c.",09 - Society and Culture,0999 - Other Society and Culture,"099999 - Society and Culture, n.e.c.",Bachelor Degree,No,No,,,,English,208,"$244,541.00",$0.00,"$244,541.00",No
00008C,Monash University (Monash),077237J,Bachelor of Pharmaceutical Science Advanced (Honours),,No,01 - Natural and Physical Sciences,0105 - Chemical Sciences,"010599 - Chemical Sciences, n.e.c.",,,,Bachelor Honours Degree,No,Yes,35.00,8,280,English,208,"$243,229.00",$0.00,"$243,229.00",No
00008C,Monash University (Monash),077238G,Master of Industrial Design (Double Masters with Southeast University),,No,10 - Creative Arts,1005 - Graphic and Design Studies,"100599 - Graphic and Design Studies, n.e.c.",,,,Masters Degree (Coursework),No,No,,,,English,78,"$80,631.00",$0.00,"$80,631.00",No
00008C,Monash University (Monash),077239G,Master of Information Technology Systems (Double Masters with Southeast University),,No,02 - Information Technology,0203 - Information Systems,"020399 - Information Systems, n.e.c.",,,,Masters Degree (Coursework),No,No,,,,English,104,"$83,232.00",$0.00,"$83,232.00",No
00008C,Monash University (Monash),077240C,Master of Transportation Systems (Double Masters with Southeast University),,No,03 - Engineering and Related Technologies,0309 - Civil Engineering,030909 - Transport Engineering,,,,Masters Degree (Coursework),No,No,,,,English,78,"$91,188.00",$0.00,"$91,188.00",No
00008C,Monash University (Monash),077608J,Master of Philosophy (Faculty of Information Technology),,No,02 - Information Technology,0299 - Other Information Technology,"029999 - Information Technology, n.e.c.",,,,Masters Degree (Research),No,No,,,,English,104,"$112,064.00",$0.00,"$112,064.00",No
00008C,Monash University (Monash),077791E,Bachelor of Pharmacy (Scholars Program),,No,06 - Health,0605 - Pharmacy,060501 - Pharmacy,,,,Bachelor Degree,No,Yes,35.00,12,420,English,208,"$229,667.00",$0.00,"$229,667.00",No
00008C,Monash University (Monash),077804E,Doctor of Philosophy (Journalism),,No,10 - Creative Arts,1007 - Communication and Media Studies,100703 - Journalism,,,,Doctoral Degree,No,No,,,,English,208,"$201,232.00",$0.00,"$201,232.00",No
00008C,Monash University (Monash),078750F,Doctor of Philosophy (Monash - University of Warwick),,No,01 - Natural and Physical Sciences,0199 - Other Natural and Physical Sciences,"019999 - Natural and Physical Sciences, n.e.c.",,,,Doctoral Degree,No,No,,,,English,208,"$252,415.00",$0.00,"$252,415.00",No
00008C,Monash University (Monash),078757K,Doctor of Philosophy (Joint award with University of Warwick)(International)(Science),,No,01 - Natural and Physical Sciences,0199 - Other Natural and Physical Sciences,"019999 - Natural and Physical Sciences, n.e.c.",,,,Doctoral Degree,No,No,,,,English,208,"$252,415.00",$0.00,"$252,415.00",No
00008C,Monash University (Monash),078763A,Master of Interpreting and Translation Studies (Double Masters with Southeast University),,No,09 - Society and Culture,0915 - Language and Literature,091519 - Translating and Interpreting,,,,Masters Degree (Coursework),No,No,,,,English,104,"$89,404.00",$0.00,"$89,404.00",No
00008C,Monash University (Monash),078764M,Master of Interpreting and Translation Studies (Double Masters with University of Trieste),,No,09 - Society and Culture,0915 - Language and Literature,091519 - Translating and Interpreting,,,,Masters Degree (Coursework),No,No,,,,English,104,"$89,404.00",$0.00,"$89,404.00",No
00008C,Monash University (Monash),078846J,Bachelor of Biotechnology,,No,01 - Natural and Physical Sciences,0199 - Other Natural and Physical Sciences,"019999 - Natural and Physical Sciences, n.e.c.",,,,Bachelor Degree,No,No,,,,English,156,"$180,192.00",$0.00,"$180,192.00",No
00008C,Monash University (Monash),078847G,Bachelor of Environmental Science,,No,"05 - Agriculture, Environmental and Related Studies",0509 - Environmental Studies,"050999 - Environmental Studies, n.e.c.",,,,Bachelor Degree,No,No,,,,English,156,"$180,192.00",$0.00,"$180,192.00",No
00008C,Monash University (Monash),078862J,Master of Education,,No,07 - Education,0703 - Curriculum and Education Studies,070303 - Education Studies,,,,Masters Degree (Coursework),No,No,,,,English,104,"$90,228.00",$0.00,"$90,228.00",No
00008C,Monash University (Monash),078902F,Doctor of Philosophy (Monash-Warwick),,No,03 - Engineering and Related Technologies,0399 - Other Engineering and Related Technologies,"039999 - Engineering and Related Technologies, n.e.c.",,,,Doctoral Degree,No,No,,,,English,208,"$232,730.00",$0.00,"$232,730.00",No
00008C,Monash University (Monash),078905C,Doctor of Philosophy (Monash-Warwick),,No,02 - Information Technology,0299 - Other Information Technology,"029999 - Information Technology, n.e.c.",,,,Doctoral Degree,No,No,,,,English,208,"$157,486.00",$0.00,"$157,486.00",No
00008C,Monash University (Monash),078906B,Doctor of Philosophy (Warwick-Monash),,No,02 - Information Technology,0299 - Other Information Technology,"029999 - Information Technology, n.e.c.",,,,Doctoral Degree,No,No,,,,English,208,$0.00,$0.00,$0.00,No
00008C,Monash University (Monash),078909K,Master of International Sustainable Tourism Management,,No,08 - Management and Commerce,0807 - Tourism,080701 - Tourism,,,,Masters Degree (Coursework),No,No,,,,English,104,"$100,940.00",$0.00,"$100,940.00",No
00008C,Monash University (Monash),079046M,Bachelor of Business Administration,,No,08 - Management and Commerce,0803 - Business and Management,"080300 - Business and Management, n.f.d.",,,,Bachelor Degree,No,No,,,,English,156,"$177,963.00",$0.00,"$177,963.00",No
00008C,Monash University (Monash),079049G,Master of Interpreting and Translation Studies (Double Masters with the University of Trieste) (Arts) (International),,No,09 - Society and Culture,0915 - Language and Literature,091519 - Translating and Interpreting,,,,Masters Degree (Coursework),No,No,,,,English,104,"$82,812.00",$0.00,"$82,812.00",No
00008C,Monash University (Monash),079053A,Master of Business Information Systems,,No,02 - Information Technology,0203 - Information Systems,"020300 - Information Systems, n.f.d.",,,,Masters Degree (Coursework),No,Yes,12.00,24,288,English,104,"$114,330.00",$0.00,"$114,330.00",No
00008C,Monash University (Monash),079055K,Master of Information Technology,,No,02 - Information Technology,0201 - Computer Science,"020100 - Computer Science, n.f.d.",,,,Masters Degree (Coursework),No,Yes,12.00,24,288,English,104,"$114,330.00",$0.00,"$114,330.00",No
